id,name,postcode,address,lat,lng,rating,rating_num,renovation_year,price_low,URL
1,Oasis Residence,LS2 3BA,"Cookridge Street, 利兹 LS2 3BA, 英国",53.802566,-1.546817,4,2,2018,300,https://ypp.co.uk/building/leeds-oasis-residence/
2,The Edge,LS3 1DH,"2 Westfield Road, 利兹 LS3 1DH, 英国",53.802316,-1.564235,4.8,60,2015,196,https://www.iconinc.co.uk/student-accommodation/leeds/the-edge
3,Brotherton House,LS1 2FN,"Grace Street, 利兹 LS1 2FN, 英国",53.799054,-1.554582,5,1,2022,188,https://studyinn.com/student-accommodation/leeds/brotherton-house/
4,LiveOasis St Albans Place,LS2 8GD,"Wade Lane, 利兹 LS2 8GD, 英国",53.8018,-1.541572,4.6,25,2023,295,https://ypp.co.uk/building/leeds-live-oasis-st-albans-place/
5,CitySide,LS1 3EY,"Calverley Street, 利兹 LS1 3EY, 英国",53.803656,-1.549736,4.5,19,2016,268,https://www.downingstudents.com/student-accommodation/leeds/cityside/
6,Altus House,LS2 8GH,"Tower House Street, 利兹 LS2 8GH, 英国",53.802483,-1.541625,4.7,245,2021,162,https://www.iqstudentaccommodation.com/leeds/altus-house?utm_source=google&utm_medium=cpc&utm_id=137868855_109409155822_781634411186_altus%20house&gad_source=1&gad_campaignid=137868855&gbraid=0AAAAADq8YbEYzEJQEKBvp4Zt2K9aCMKs7&gclid=CjwKCAjwwJzPBhBREiwAJfHRnYXprarcJWzqWn5hTuUKDtN8GV3ZKZ_s0vPZ4dvJ_9IXU3LfmoFL6hoCt68QAvD_BwE
7,St. Albans,LS2 8JP,"Cross Belgrave Street, 利兹 LS2 8JP, 英国",53.800926,-1.541004,4.6,146,2019,268,https://www.vitastudent.com/en/student-accommodation/leeds/st-albans/
8,Leonardo,LS2 8GY,"8 Great George Street, 利兹 LS2 8GY, 英国",53.801188,-1.546042,4.3,78,2023,168,https://herestudents.com/location/leeds/leonardo/
9,IQ Leeds,LS6 2TL,"Cross Chancellor Street, 利兹 LS6 2TL, 英国",53.811357,-1.551734,4.4,8,2011,131,https://www.iqstudentaccommodation.com/leeds/iq-leeds
10,Scape Leeds,LS2 8FZ,"44 Merrion Street, 利兹 LS2 8FZ, 英国",53.813825,-1.545997,4.5,34,2024,193,https://www.scape.com/
